Wallet Address,0xa733dcbe5b3ae4570481158aff902ef27bf33c4c
Chains with Capital,"ETH $35,874.835590 (96.2937%), BSC $0.000000 (0.0000%), POLYGON $0.000000 (0.0000%), AVALANCHE $0.000000 (0.0000%), FANTOM $0.000000 (0.0000%), ARBITRUM $0.000000 (0.0000%), BASE $1,380.808591 (3.7063%), OPTIMISM $0.000000 (0.0000%), LINEA $0.000000 (0.0000%)"
Total Funds,"$37,255.6442"

Chain,Token,Portfolio %,Price,Amount,Value
ETH,ETH,0.0002%,$2531.7549,0.000027,$0.0679
ETH,Hold,61.7833%,$0.0002,"96,540,522.558354",$22164.6681
ETH,ETHG,38.2165%,$0.0069,"2,000,000.000000",$13710.0995
BSC,Free spins!!! [SPONSORED],0.0000%,$0.00,500.000000,$0.00
POLYGON,$ Check: blastcode.io Your AirDrop Code,0.0000%,$0.00,"10,000.000000",$0.00
POLYGON,Visit Rocketpool.win to claim reward.,0.0000%,$0.00,"9,000,000,000.000000",$0.00
POLYGON,Visit stETH official website:  steth-voucher.site,0.0000%,$0.00,1.000000,$0.00
POLYGON,MANTA GET pacificdrop.org,0.0000%,$0.00,"10,000.000000",$0.00
POLYGON,$ CLAiM : ethena-v2.com [,0.0000%,$0.00,"14,700.000000",$0.00
POLYGON,ACCESS [ BRETTBASED.VIP ] TO CLAIM TOKENS,0.0000%,$0.00,"550,000.000000",$0.00
POLYGON,Visit rocketpool.win to claim 10 rETH.,0.0000%,$0.00,"900,000,000.000000",$0.00
POLYGON,Access to claim rewards ( https://steth-drop.xyz ),0.0000%,$0.00,1.000000,$0.00
POLYGON,Visit stETH official website:  steth-voucher.site,0.0000%,$0.00,1.000000,$0.00
POLYGON,$Eigen claim link: eigenclaim.xyz,0.0000%,$0.00,1.000000,$0.00
POLYGON,$ ACCESS [ETHENA-VV.COM] TO CLAIM,0.0000%,$0.00,"5,000.000000",$0.00
POLYGON,USD0 [www.usual.finance],0.0000%,$0.00,"1,538.000000",$0.00
POLYGON,Check/claim: pepevip.art,0.0000%,$0.00,1.000000,$0.00
POLYGON,VISIT ETH-ETHENA.COM TO CLAIM REWARDS,0.0000%,$0.00,"5,000.000000",$0.00
POLYGON,Claim Airdrop ( claim-render.com ),0.0000%,$0.00,929.000000,$0.00
POLYGON,ACCESS [BONKTOKEN.APP] TO CLAIM YOUR TOKEN,0.0000%,$0.00,"745,000.000000",$0.00
POLYGON,$ CLAiM : ethena-v2.com @,0.0000%,$0.00,"14,000.000000",$0.00
POLYGON,$ ACCESS [ethena-eth.org] TO CLAIM,0.0000%,$0.00,"3,000.000000",$0.00
POLYGON,Claim 780 $EIGEN: eigenclaim.site,0.0000%,$0.00,1.000000,$0.00
POLYGON,Claim Airdrop ( claimretik.store ),0.0000%,$0.00,"265,700.000000",$0.00
POLYGON,VISIT [ RETIK.FARM ] TO CLAIM YOUR AIRDROP,0.0000%,$0.00,"8,750.000000",$0.00
POLYGON,https://Nnfts.app,0.0000%,$0.00,"3,000.000000",$0.00
POLYGON,"visit [layerzerowork.com] to earn up to 12,000,000 $ZRO",0.0000%,$0.00,0.000000,$0.00
POLYGON,Visit ( https://eigenlayers.site ) to claim,0.0000%,$0.00,32.000000,$0.00
POLYGON,ACX   [via www.across.events],0.0000%,$0.00,"2,814.000000",$0.00
